K = 2
0.0102218 0.00095 736
0.0102362 0.00096 457
0.0102503 0.00097 340
0.0102641 0.00098 131
0.0102777 0.00099 763
0.010291 0.001 340
0.0103041 0.00101 128
0.0103169 0.00102 277
0.0103296 0.00103 205
0.010342 0.00104 763
0.0103543 0.00105 149
0.0103664 0.00106 490
0.0103783 0.00107 812
0.0103901 0.00108 159
0.0104017 0.00109 535
0.0104131 0.0011 124
0.0104244 0.00111 1163
0.0104355 0.00112 130
0.0104465 0.00113 150
0.0104574 0.00114 129
0.0104674 0.00115 127
0.0104786 0.00116 76
0.0104893 0.00117 78
0.0104997 0.00118 75
0.0105097 0.00119 75
0.0105195 0.0012 77
0.0105289 0.00121 76
0.0105382 0.00122 77
0.0105472 0.00123 76
0.0105559 0.00124 74
0.0105645 0.00125 77
0.0105729 0.00126 77
0.0105811 0.00127 77
0.0105892 0.00128 77
0.0105971 0.00129 75
0.0106048 0.0013 74
0.0106124 0.00131 74
0.0106199 0.00132 75
0.0106272 0.00133 74
0.0106345 0.00134 76
0.0106416 0.00135 76
0.0106486 0.00136 74
0.0106555 0.00137 75
0.0106623 0.00138 78
0.010669 0.00139 74
0.0106757 0.0014 75
0.0106822 0.00141 81
0.0106886 0.00142 73
0.010695 0.00143001 78
0.0107013 0.00144 78
0.0107075 0.00145 75
0.0107137 0.00146 77
0.0107197 0.00147 76
0.0107257 0.00148 75
0.0107317 0.00149 76
0.0107376 0.0015 76
0.0107434 0.00151 74
0.0107491 0.00152 76
0.0107548 0.00153 78
0.0107605 0.00154 76
0.0107661 0.00155 79
0.0107716 0.00156 79
0.0107771 0.00157 76
0.0107825 0.00158 77
0.0107879 0.00159 79
0.0107933 0.0016 75
0.0107986 0.00161 80
0.0108038 0.00162 76
0.010809 0.00163 76
0.0108142 0.00164 79
0.0108193 0.00165 76
0.0108244 0.00166 74
0.0108294 0.00167 76
0.0108344 0.00168 76
0.0108394 0.00169 75
0.0108443 0.0017 77
0.0108492 0.00171 75
0.010854 0.00172 75
0.0108589 0.00173 76
0.0108636 0.00174 78
0.0108684 0.00175 76
0.0108731 0.00176 77
0.0108778 0.00177 80
0.0108825 0.00178 74
0.0108871 0.00179 76
0.0108917 0.0018 76
0.0108962 0.00181 75
0.0109008 0.00182 76
0.0109053 0.00183 78
0.0109098 0.00184 75
0.0109142 0.00185 79
0.0109187 0.00186 80
0.0109231 0.00187 75
0.0109274 0.00188 77
0.0109318 0.00189 78
0.0109361 0.0019 74
0.0109404 0.00191 81
0.0109447 0.00192 81
0.0109489 0.00193 78
0.0109532 0.00194 76
0.0109574 0.00195 79
0.0109615 0.00196 75
0.0109657 0.00197 75
0.0109698 0.00198 77
0.010974 0.00199 79
K = 4
0.00325911 0.00021 7033
0.00366724 0.00022 6794
0.00390281 0.00023 3667
0.00408743 0.00024 8423
0.00424443 0.00025 4437
0.00447796 0.00026 3674
0.004723 0.00027 2033
0.00493374 0.00028 1511
0.00512001 0.00029 1364
0.005315 0.0003 1146
0.00552017 0.00031 1215
0.0056964 0.00032 791
0.00592506 0.00033 827
0.00613206 0.00034 730
0.00630762 0.00035 570
0.00646279 0.00036 475
0.00660338 0.00037 488
0.00673443 0.00038 440
0.00689247 0.00039 430
0.00703725 0.0004 571
0.00717163 0.00041 447
0.00729759 0.00042 373
0.00741652 0.00043 373
0.00752949 0.00044 754
0.00766162 0.00045 362
0.00779913 0.00046 335
0.00792209 0.00047 353
0.00803432 0.00048 421
0.00813822 0.00049 250
0.00823541 0.0005 1260
0.00832705 0.00051 772
0.00841398 0.00052 489
0.00849687 0.00053 492
0.00857624 0.00054 1050
0.00886328 0.00055 188
0.00898248 0.00056 241
0.00906949 0.00057 511
0.0091415 0.00058 207
0.00920433 0.00059 220
0.00926079 0.0006 299
0.0093125 0.00061 320
0.00936048 0.00062 220
0.00940545 0.00063 488
0.0094479 0.00064 538
0.00948822 0.00065 393
0.0095267 0.00066 214
0.00956358 0.00067 343
0.00959902 0.00068 446
0.0096332 0.00069 274
0.00966624 0.0007 841
0.00969824 0.00071 273
0.0097293 0.00072 1139
0.0097595 0.00073 701
0.00978889 0.00074 1202
0.00981756 0.00075 190
0.00984553 0.00076 704
0.00987287 0.00077 671
0.00989934 0.00078 264
0.00992573 0.00079 514
0.00995046 0.0008 223
0.00997379 0.00081 430
0.00999595 0.00082 309
0.0100171 0.00083 773
0.0100373 0.00084 552
0.0100568 0.00085 741
0.0100756 0.00086 276
0.0100937 0.00087 322
0.0101113 0.00088 517
0.0101284 0.00089 179
0.0101449 0.0009 218
0.0101611 0.00091 632
0.0101768 0.00092 180
0.0101922 0.00093 225
0.0102072 0.00094 907
0.0102218 0.00095 170
0.0102362 0.00096 493
0.0102503 0.00097 518
0.0102641 0.00098 706
0.0102777 0.00099 510
0.010291 0.001 564
0.0103041 0.00101 195
0.0103169 0.00102 191
0.0103296 0.00103 735
0.010342 0.00104 467
0.0103543 0.00105 277
0.0103664 0.00106 153
