K = 7
0.00519476 0.0003 40779
0.00636347 0.0004 1739
0.00701413 0.0005 465
0.00747064 0.0006 525
0.00780556 0.0007 331
0.00805295 0.0008 283
0.00825506 0.0009 232
0.00842881 0.001 304
0.00856885 0.0011 226
0.00868483 0.0012 293
0.00878604 0.0013 167
0.00887633 0.0014 74
0.00894914 0.0015 75
0.00900909 0.0016 75
0.00901743 0.00161518 74
0.00901743 0.00161518 80
0.00901743 0.00161518 78
K = 8
0.00530328 0.0003 75644
0.00640572 0.0004 2555
0.00702717 0.0005 477
0.00747611 0.0006 445
0.00780556 0.0007 594
0.00805294 0.0008 479
0.00825506 0.0009 275
0.00842881 0.001 201
0.00856885 0.0011 243
0.00868482 0.0012 228
0.00878526 0.0013 203
0.00887633 0.0014 82
0.00894914 0.0015 160
0.00900909 0.0016 160
0.00901743 0.00161518 76
0.00901743 0.00161518 75
0.00901743 0.00161518 75
K = 9
0.0053704 0.0003 91796
0.00641936 0.0004 4711
0.00703133 0.0005 945
0.00747611 0.0006 466
0.00780556 0.0007 489
0.00805294 0.0008 394
0.00825506 0.0009 278
0.00842881 0.001 240
0.00856885 0.0011 300
0.00868483 0.0012 205
0.00878526 0.0013 229
0.00887633 0.0014 83
0.00894914 0.0015 189
0.00900909 0.0016 178
0.00901743 0.00161518 152
0.00901743 0.00161518 77
0.00901743 0.00161518 74
K = 10
0.00544375 0.0003 52203
0.00643029 0.0004 2507
0.00703359 0.0005 558
0.00747611 0.0006 459
0.00780556 0.0007 438
0.00805295 0.0008 343
0.00825506 0.0009 201
0.00842881 0.001 293
0.00856885 0.0011 289
0.00868482 0.0012 211
0.00878526 0.0013 186
0.00887633 0.0014 81
0.00894914 0.0015 162
0.00900909 0.0016 145
0.00901743 0.00161518 75
0.00901743 0.00161518 74
0.00901743 0.00161518 80
K = 2
0.00480818 0.0004 366
0.00533276 0.0005 290
0.00605313 0.0006 192
0.00717097 0.0007 190
0.00766424 0.0008 195
0.007941 0.0009 149
0.00829689 0.001 166
0.00850337 0.0011 132
0.00864016 0.0012 186
0.00877496 0.0013 136
0.00887633 0.0014 76
0.00894914 0.0015 73
0.00900909 0.0016 76
0.00901743 0.00161518 634
0.00901743 0.00161518 508
0.00901743 0.00161518 79
K = 3
0.00560981 0.0004 249
0.00646906 0.0005 221
0.00714075 0.0006 167
0.00766859 0.0007 302
0.00795043 0.0008 200
0.00820242 0.0009 171
0.00839796 0.001 176
0.00854758 0.0011 158
0.00867773 0.0012 233
0.00878526 0.0013 203
0.00887633 0.0014 80
0.00894914 0.0015 80
0.00900909 0.0016 133
0.00901743 0.00161518 79
0.00901743 0.00161518 378
0.00901743 0.00161518 79
K = 4
0.00466013 0.0003 4956
0.00597129 0.0004 411
0.00677776 0.0005 658
0.00743279 0.0006 663
0.00779003 0.0007 466
0.0080327 0.0008 223
0.0082373 0.0009 198
0.00842881 0.001 200
0.00856885 0.0011 463
0.00868483 0.0012 222
0.00878604 0.0013 159
0.00887633 0.0014 76
0.00894914 0.0015 78
0.00900909 0.0016 76
0.00901743 0.00161518 487
0.00901743 0.00161518 79
0.00901743 0.00161518 80
K = 5
0.00488962 0.0003 6062
0.00615812 0.0004 512
0.00694946 0.0005 926
0.007454 0.0006 519
0.00780304 0.0007 251
0.00805294 0.0008 258
0.00825506 0.0009 197
0.00842881 0.001 211
0.00856884 0.0011 187
0.00868483 0.0012 160
0.00878604 0.0013 172
0.00887633 0.0014 76
0.00894914 0.0015 76
0.00900909 0.0016 75
0.00901743 0.00161518 82
0.00901743 0.00161518 83
0.00901743 0.00161518 306
K = 6
0.0050641 0.0003 16404
0.00631192 0.0004 891
0.00699041 0.0005 466
0.0074639 0.0006 483
0.00780556 0.0007 365
0.00805294 0.0008 327
0.00825506 0.0009 218
0.00842881 0.001 320
0.00856885 0.0011 228
0.00868483 0.0012 209
0.00878604 0.0013 372
0.00887633 0.0014 78
0.00894914 0.0015 76
0.00900909 0.0016 75
0.00901743 0.00161518 83
0.00901743 0.00161518 149
0.00901743 0.00161518 86
