K = 7
0.00241204 0.0004 61770
0.00333684 0.0005 19406
0.00391591 0.0006 9738
0.00419092 0.0007 1444
0.0043413 0.0008 1116
0.0044495 0.0009 1684
0.00453861 0.001 934
0.00460969 0.0011 1012
0.00465832 0.0012 640
0.00469702 0.0013 737
0.00473015 0.0014 726
0.0047596 0.0015 743
0.00478632 0.0016 368
0.00481077 0.0017 710
0.00481365 0.00171258 344
0.00481365 0.00171258 347
K = 8
0.00246026 0.0004 39375
0.0033535 0.0005 7870
0.00391601 0.0006 2285
0.00419092 0.0007 1238
0.0043413 0.0008 1594
0.0044495 0.0009 1271
0.00453861 0.001 1330
0.00460969 0.0011 1037
0.00465832 0.0012 618
0.00469702 0.0013 783
0.00473015 0.0014 721
0.0047596 0.0015 778
0.00478632 0.0016 366
0.00481077 0.0017 693
0.00481365 0.00171258 349
0.00481365 0.00171258 348
K = 9
0.00249156 0.0004 4464
0.00335526 0.0005 7229
0.00391604 0.0006 1848
0.00419092 0.0007 1845
0.0043413 0.0008 1983
0.0044495 0.0009 1018
0.00453861 0.001 1901
0.00460969 0.0011 938
0.00465832 0.0012 793
0.00469702 0.0013 762
0.00473015 0.0014 779
0.0047596 0.0015 721
0.00478632 0.0016 366
0.00481077 0.0017 635
0.00481365 0.00171258 351
0.00481365 0.00171258 352
K = 10
0.00250048 0.0004 7839
0.00335639 0.0005 9262
0.00391603 0.0006 1625
0.00419109 0.0007 1165
0.0043413 0.0008 815
0.0044495 0.0009 940
0.00453861 0.001 864
0.00460969 0.0011 971
0.00465832 0.0012 825
0.00469702 0.0013 804
0.00473015 0.0014 722
0.0047596 0.0015 768
0.00478632 0.0016 368
0.00481077 0.0017 728
0.00481365 0.00171258 349
0.00481365 0.00171258 350
K = 2
0.00213679 0.0005 1624
0.00311065 0.0006 2131
0.00398922 0.0007 825
0.00411827 0.0008 759
0.00426434 0.0009 737
0.00437113 0.001 674
0.00457578 0.0011 542
0.00464472 0.0012 521
0.00468996 0.0013 506
0.00472627 0.0014 607
0.0047581 0.0015 482
0.00478632 0.0016 379
0.00481077 0.0017 483
0.00481365 0.00171258 355
0.00481365 0.00171258 354
K = 3
0.00140929 0.0004 2904
0.00269914 0.0005 6135
0.00360874 0.0006 1915
0.00410826 0.0007 748
0.00430202 0.0008 832
0.0044157 0.0009 1109
0.00453259 0.001 3446
0.00460969 0.0011 633
0.00465832 0.0012 835
0.00469702 0.0013 570
0.00473015 0.0014 545
0.0047596 0.0015 559
0.00478632 0.0016 373
0.00481077 0.0017 625
0.00481365 0.00171258 355
0.00481365 0.00171258 344
K = 4
0.00196815 0.0004 21445
0.00306331 0.0005 24631
0.00385676 0.0006 1885
0.00416902 0.0007 4013
0.00433737 0.0008 8500
0.0044495 0.0009 2132
0.00453861 0.001 779
0.00460969 0.0011 704
0.00465832 0.0012 744
0.00469702 0.0013 666
0.00473015 0.0014 582
0.0047596 0.0015 523
0.00478632 0.0016 376
0.00481077 0.0017 612
0.00481365 0.00171258 359
0.00481365 0.00171258 680
K = 5
0.00220854 0.0004 13547
0.00321082 0.0005 20283
0.00389228 0.0006 4925
0.00419092 0.0007 985
0.0043413 0.0008 1067
0.0044495 0.0009 1032
0.00453861 0.001 786
0.00460969 0.0011 862
0.00465832 0.0012 812
0.00469702 0.0013 618
0.00473015 0.0014 657
0.0047596 0.0015 662
0.00478632 0.0016 368
0.00481077 0.0017 631
0.00481365 0.00171258 344
0.00481365 0.00171258 347
K = 6
0.00233834 0.0004 22885
0.00329494 0.0005 24218
0.00391053 0.0006 9829
0.00419092 0.0007 1488
0.0043413 0.0008 1127
0.0044495 0.0009 900
0.00453861 0.001 999
0.00460969 0.0011 945
0.00465832 0.0012 728
0.00469702 0.0013 677
0.00473015 0.0014 693
0.0047596 0.0015 671
0.00478632 0.0016 366
0.00481077 0.0017 656
0.00481365 0.00171258 343
0.00481365 0.00171258 639
