K = 7
0.00422452 0.0002 -1 5400089
0.00585512 0.0003 1353521
0.00679213 0.0004 36971
0.00748297 0.0005 5920
0.00802643 0.0006 497
0.00844676 0.0007 441
0.00878604 0.0008 529
0.00906718 0.0009 416
0.00931086 0.001 361
0.00953006 0.0011 336
0.00972037 0.0012 320
0.00987453 0.0013 218
0.0100061 0.0014 270
0.0101228 0.0015 263
0.0102287 0.0016 260
0.0103264 0.0017 152
0.010411 0.0018 285
0.0104709 0.0019 373
K = 8
0.00444958 0.0002 -1 5400114
0.00595508 0.0003 -1 5400222
0.00686585 0.0004 82387
0.0075572 0.0005 1485
0.00809067 0.0006 489
0.00847493 0.0007 980
0.00879155 0.0008 607
0.00906718 0.0009 597
0.00931148 0.001 353
0.00953006 0.0011 231
0.00972037 0.0012 164
0.00987453 0.0013 162
0.0100061 0.0014 335
0.0101228 0.0015 303
0.0102287 0.0016 337
0.0103264 0.0017 154
0.010411 0.0018 219
0.0104709 0.0019 246
K = 9
0.00456539 0.0002 -1 5400165
0.00601933 0.0003 -1 5400628
0.00692075 0.0004 69132
0.00760817 0.0005 1490
0.00809198 0.0006 228
0.00847493 0.0007 414
0.00879155 0.0008 738
0.00906718 0.0009 336
0.00931148 0.001 311
0.00953006 0.0011 264
0.00972037 0.0012 165
0.00987453 0.0013 162
0.0100061 0.0014 372
0.0101228 0.0015 256
0.0102287 0.0016 247
0.0103264 0.0017 153
0.010411 0.0018 268
0.0104709 0.0019 310
K = 10
0.00466842 0.0002 -1 5400304
0.00606873 0.0003 -1 5400490
0.00696921 0.0004 37523
0.00761858 0.0005 1280
0.00809198 0.0006 229
0.00847493 0.0007 178
0.00879155 0.0008 875
0.00906718 0.0009 384
0.00931086 0.001 390
0.00953006 0.0011 268
0.00972037 0.0012 212
0.00987453 0.0013 403
0.0100061 0.0014 257
0.0101228 0.0015 299
0.0102287 0.0016 346
0.0103264 0.0017 186
0.010411 0.0018 416
0.0104709 0.0019 245
K = 2
0.00232141 0.0003 847
0.00425336 0.0004 526
0.00531348 0.0005 517
0.00628164 0.0006 319
0.00683604 0.0007 401
0.00724253 0.0008 681
0.00770998 0.0009 199
0.00778856 0.001 258
0.00821039 0.0011 291
0.00898968 0.0012 253
0.0092057 0.0013 240
0.00940196 0.0014 257
0.0095531 0.0015 257
0.0096807 0.0016 253
0.00979321 0.0017 316
0.00989498 0.0018 157
0.0102395 0.0019 194
K = 3
0.00403308 0.0003 6695
0.00559668 0.0004 1129
0.00653048 0.0005 432
0.00708221 0.0006 1083
0.00763743 0.0007 301
0.00818708 0.0008 319
0.00852906 0.0009 284
0.00878691 0.001 338
0.00929448 0.0011 731
0.009543 0.0012 853
0.00971822 0.0013 263
0.00986163 0.0014 247
0.00998606 0.0015 202
0.0100975 0.0016 159
0.0103204 0.0017 222
0.010411 0.0018 323
0.0104709 0.0019 265
K = 4
0.00279973 0.0002 163796
0.00489128 0.0003 17990
0.00617139 0.0004 1576
0.0069458 0.0005 768
0.00761475 0.0006 397
0.00808875 0.0007 404
0.00848379 0.0008 244
0.00888197 0.0009 243
0.00920326 0.001 269
0.00952521 0.0011 215
0.00972037 0.0012 237
0.00987453 0.0013 171
0.0100061 0.0014 203
0.0101228 0.0015 258
0.0102287 0.0016 350
0.0103264 0.0017 272
0.010411 0.0018 217
0.0104709 0.0019 279
K = 5
0.00350492 0.0002 1362404
0.00538804 0.0003 61356
0.00652522 0.0004 4797
0.00722895 0.0005 1238
0.00782908 0.0006 904
0.0082865 0.0007 1454
0.00869448 0.0008 223
0.00903753 0.0009 234
0.00930733 0.001 497
0.00953006 0.0011 237
0.00972037 0.0012 219
0.00987453 0.0013 353
0.0100061 0.0014 233
0.0101228 0.0015 304
0.0102287 0.0016 215
0.0103264 0.0017 160
0.010411 0.0018 236
0.0104709 0.0019 214
K = 6
0.00396506 0.0002 -1 5400083
0.0057121 0.0003 115004
0.00668541 0.0004 16485
0.00736632 0.0005 6288
0.00792863 0.0006 1237
0.00839289 0.0007 1223
0.00876019 0.0008 761
0.0090605 0.0009 276
0.00931086 0.001 335
0.00953006 0.0011 280
0.00972037 0.0012 207
0.00987453 0.0013 211
0.0100061 0.0014 251
0.0101228 0.0015 326
0.0102287 0.0016 252
0.0103264 0.0017 264
0.010411 0.0018 220
0.0104709 0.0019 263
