K = 2
0.00232837 0.000300845 1588
0.00426625 0.000400983 431
0.0053135 0.000500004 331
0.00628172 0.00060001 202
0.006839 0.000700577 205
0.00724561 0.00080092 142
0.00770999 0.000900009 136
0.0077902 0.00100072 145
0.00821043 0.00110001 135
0.00898986 0.00120009 94
0.00920569 0.00129999 110
0.00940261 0.00140039 125
0.00955343 0.00150024 106
0.00968086 0.00160014 127
0.00979332 0.0017001 124
0.00989498 0.0018 103
0.0102409 0.00190061 79
K = 3
0.00403952 0.00030098 228820
0.00560914 0.000400974 11384
0.00653111 0.000500291 4376
0.00708446 0.00060048 560
0.00764025 0.000700647 341
0.00818878 0.00080094 154
0.00852905 0.000899996 130
0.00886224 0.00100076 144
0.00929703 0.00110082 115
0.00954423 0.00120063 119
0.00971884 0.00130041 113
0.00986289 0.00140099 110
0.00998657 0.00150056 121
0.0100978 0.0016003 112
0.0103207 0.00170061 86
0.010411 0.0018 75
0.0104709 0.0019 59
K = 4
0.00490699 0.000300976 3280088
0.00618182 0.000400943 42203
0.00695 0.00050091 7425
0.00761866 0.000600998 406
0.0080917 0.000700828 292
0.00848694 0.000800903 203
0.00888312 0.000900573 148
0.0092056 0.00100052 118
0.0095259 0.00110075 103
0.00972073 0.00120045 98
0.00987449 0.00129998 99
0.010006 0.00139995 103
0.0101227 0.00149999 92
0.0102292 0.00160085 92
0.0103271 0.00170088 87
0.010411 0.00179999 82
0.0104708 0.00189992 58
K = 5
0.00353724 0.000200976 -1 3600828
0.00540489 0.000301 -1 3600665
0.00653065 0.000400934 33755
0.0072354 0.000500968 6224
0.00783323 0.000600825 351
0.00828928 0.0007009 214
0.00869628 0.00080062 185
0.00903935 0.000900908 117
0.00930821 0.00100081 118
0.00953138 0.00110098 109
0.00972073 0.00120045 98
0.00987498 0.00130072 103
0.0100067 0.00140084 99
0.0101235 0.00150066 99
0.0102292 0.00160085 95
0.0103271 0.00170088 86
0.0104109 0.00179998 80
0.0104708 0.00189993 64
K = 6
0.00387663 0.000200982 -1 3600689
0.00572465 0.000300987 -1 3600487
0.00669355 0.000400995 2816
0.00737166 0.000500977 1876
0.00793226 0.000600964 376
0.00839572 0.00070095 220
0.00876225 0.000800941 140
0.00906229 0.000900818 121
0.00931237 0.00100084 120
0.00953138 0.00110098 104
0.00972023 0.00119997 100
0.00987524 0.00130086 104
0.0100067 0.00140084 99
0.0101235 0.00150066 97
0.0102287 0.00159997 87
0.0103271 0.00170088 88
0.010411 0.0018 79
0.0104709 0.0019 61
K = 7
0.00424 0.000200997 -1 3600697
0.00586468 0.000300936 15917
0.00679881 0.000400992 1965
0.00748778 0.000500927 636
0.00802942 0.000600768 254
0.00844901 0.000700989 155
0.00878807 0.000800874 122
0.0090692 0.000900888 109
0.00931193 0.00100093 112
0.00953129 0.00110098 97
0.00972142 0.00120066 107
0.00987448 0.00129998 105
0.0100061 0.00139999 81
0.0101235 0.00150066 90
0.0102292 0.00160085 87
0.0103264 0.00169999 92
0.0104109 0.00179996 96
0.0104708 0.00189989 70
K = 8
0.00446575 0.000200989 -1 3600514
0.00596484 0.000300998 13742
0.00687257 0.000400982 2170
0.00756184 0.000500995 537
0.00809349 0.000600804 196
0.00847723 0.000700753 161
0.00879264 0.000800813 165
0.0090686 0.000900914 113
0.00931322 0.00100092 110
0.00953191 0.00110099 101
0.00972109 0.00120064 96
0.00987449 0.00129998 101
0.0100061 0.0014 77
0.0101235 0.00150066 87
0.0102292 0.00160085 101
0.0103263 0.0017 90
0.010411 0.0018 83
0.0104708 0.00189996 81
K = 9
0.0045833 0.000200998 457921
0.00602909 0.000300906 11196
0.00692623 0.000400853 1485
0.00761215 0.000500939 359
0.00809462 0.000600895 155
0.00847628 0.000700847 198
0.0087934 0.000800875 169
0.00906842 0.000900614 118
0.00931296 0.00100099 111
0.00953153 0.00110076 101
0.00972109 0.00120064 83
0.00987451 0.0013 100
0.010006 0.00139998 81
0.0101235 0.00150066 90
0.0102292 0.00160085 85
0.0103262 0.00169994 89
0.0104109 0.00179996 85
0.0104709 0.00189999 79
K = 10
0.00468478 0.000200976 266050
0.00607833 0.000300949 9778
0.00697446 0.00040088 1127
0.00762087 0.000500867 422
0.00809563 0.000600941 209
0.00847673 0.000700881 171
0.00879297 0.000800692 153
0.00906868 0.000900828 111
0.00931273 0.00100079 112
0.00953191 0.00110099 97
0.00972109 0.00120064 83
0.00987515 0.00130046 103
0.0100058 0.00139979 80
0.0101235 0.00150066 89
0.0102287 0.0016 96
0.0103264 0.0017 97
0.0104109 0.00179988 82
0.0104705 0.00189921 71
