K = 2
0.0001 0.000448211 129
0.0011 0.000311666 168
0.00209999 0.000325461 309
0.0030999 0.00033249 350
0.0041 0.000383777 182
0.0051 0.000426555 127
0.0061 0.000523215 120
0.0071 0.000683334 106
0.0081 0.000870389 56
0.0091 0.00089344 46
0.0101 0.00103331 41
0.0111 0.00232134 39

K = 3
0.0001 0.00033332 222
0.0011 0.0002674 423
0.0021 0.000235571 416
0.0031 0.000245301 360
0.0041 0.000283229 252
0.0051 0.000341481 285
0.0061 0.000386596 128
0.0071 0.000469423 115
0.0081 0.000598202 86
0.0091 0.000715006 50
0.0101 0.000873532 38
0.0111 0.00232134 39

K = 4
0.0001 0.000289888 269
0.00110097 0.000232635 541
0.0021 0.000200905 408
0.0031 0.000208618 498
0.0041 0.00024075 321
0.0051 0.000288874 231
0.0061 0.000338324 130
0.0071 0.000404583 103
0.0081 0.000486239 96
0.0091 0.000574047 44
0.0101 0.000873532 42
0.0111 0.00232134 39

K = 5
0.0001 0.000262365 265
0.0011 0.000210525 1159
0.0021 0.000187669 853
0.0031 0.000193781 498
0.0041 0.000209765 335
0.0051 0.000257884 262
0.0061 0.000306533 148
0.0071 0.000359757 111
0.0081 0.000438814 84
0.0091 0.000564142 42
0.0101 0.000873532 40
0.0111 0.00232134 39

K = 6
0.0001 0.00024471 393
0.0011 0.00019974 1989
0.0021 0.000175129 723
0.0031 0.000179221 451
0.0041 0.000195097 392
0.0051 0.000232442 291
0.0061 0.000276936 114
0.0071 0.000336664 109
0.0081 0.000425595 73
0.0091 0.000564142 47
0.0101 0.000873532 41
0.0111 0.00232134 41

K = 7
0.0001 0.000234003 466
0.0011 0.000188837 1652
0.0021 0.000166749 629
0.0031 0.000169838 411
0.0041 0.000184388 300
0.0051 0.000215482 169
0.0061 0.000259753 115
0.0071 0.000326032 85
0.0081 0.000418494 83
0.0091 0.000564142 48
0.0101 0.000873532 41
0.0111 0.00232134 40

K = 8
0.0001 0.000224673 341
0.0011 0.00018244 2250
0.0021 0.000160072 909
0.0031 0.000162328 339
0.0041 0.000177482 381
0.0051 0.00020612 126
0.0061 0.000252433 108
0.0071 0.000319485 89
0.0081 0.000417639 52
0.0091 0.000564142 42
0.0101 0.000873532 40
0.0111 0.00232134 41

K = 9
0.0001 0.000218546 284
0.0011 0.000176203 2513
0.0021 0.000154454 712
0.0031 0.000156817 246
0.0041 0.000172819 261
0.0051 0.000200678 127
0.0061 0.000248217 105
0.0071 0.000315957 76
0.0081 0.000417381 55
0.0091 0.000564142 41
0.0101 0.000873532 38
0.0111 0.00232134 39

K = 10
0.0001 0.000213502 209
0.0011 0.000171273 717
0.0021 0.000151262 461
0.0031 0.000151942 158
0.0041 0.000168612 261
0.0051 0.000196562 107
0.0061 0.000244462 105
0.0071 0.000314375 71
0.0081 0.000417323 46
0.0091 0.000564142 41
0.0101 0.000873532 37
0.0111 0.00232134 39

