K = 2
0.0001 0.000525214 59
0.0006 0.000491455 110
0.0011 0.000452286 132
0.0016 0.000428103 151
0.0021 0.000421779 190
0.0026 0.000377948 345
0.0031 0.000378601 364
0.0036 0.000405944 303
0.0041 0.000420822 274
0.0046 0.00040637 191
0.0051 0.000446173 139
0.0056 0.000547385 133
0.0061 0.000606994 100
0.0066 0.000699721 103
0.0071 0.000693006 57
0.0076 0.000781694 58
0.0081 0.000961726 49
0.0086 0.00116785 47

K = 3
0.0001 0.000421152 97
0.0006 0.000379537 113
0.0011 0.000367283 200
0.0016 0.000333469 216
0.0021 0.000321344 492
0.0026 0.000305582 1252
0.0031 0.000309266 1355
0.0036 0.000319165 1363
0.0041 0.000315783 515
0.0046 0.000334244 328
0.0051 0.000372655 175
0.0056 0.000399413 139
0.0061 0.000445287 102
0.0066 0.000523669 99
0.0071 0.00059686 84
0.0076 0.000681041 54
0.0081 0.000865641 52
0.0086 0.00113736 48

K = 4
0.0001 0.000367497 84
0.0006 0.000332781 108
0.0011 0.000311389 238
0.0016 0.000298676 453
0.0021 0.000281728 1323
0.0026 0.000275521 2406
0.0031 0.000271895 2532
0.0036 0.000267489 1978
0.0041 0.000283021 1231
0.0046 0.00029665 387
0.0051 0.000335134 266
0.0056 0.000361269 127
0.0061 0.00041235 111
0.0066 0.000475326 102
0.0071 0.000551094 88
0.0076 0.000640015 54
0.0081 0.00083238 50
0.0086 0.00112533 47

K = 5
0.0001 0.000350314 71
0.0006 0.000307358 89
0.0011 0.000287109 163
0.0016 0.000271457 403
0.0021 0.000260084 1742
0.0026 0.000249345 3153
0.0031 0.000244124 2295
0.0036 0.000249345 2232
0.0041 0.000264507 1435
0.0046 0.000285504 493
0.0051 0.000314194 330
0.0056 0.000345196 131
0.0061 0.000392635 109
0.0066 0.000450181 92
0.0071 0.000525446 68
0.0076 0.000637967 53
0.0081 0.000821755 49
0.0086 0.00112533 44

K = 6
0.0001 0.000343231 63
0.0006 0.000294119 91
0.0011 0.000273301 163
0.0016 0.000258893 537
0.0021 0.000245626 2763
0.0026 0.000234999 4190
0.0031 0.000232557 2583
0.0036 0.000237181 2865
0.0041 0.000252793 2241
0.0046 0.00027434 1082
0.0051 0.000302891 420
0.0056 0.000335503 141
0.0061 0.000376512 111
0.0066 0.000438972 83
0.0071 0.000519414 67
0.0076 0.000635207 50
0.0081 0.000821755 44
0.0086 0.00112533 43

K = 7
0.0001 0.0003395 62
0.0006 0.000287952 87
0.0011 0.000262597 210
0.0016 0.000248637 1057
0.0021 0.000236515 3472
0.0026 0.000226728 3041
0.0031 0.000225134 4395
0.0036 0.000231284 3737
0.0041 0.000244716 2857
0.0046 0.000266746 1445
0.0051 0.000293968 506
0.0056 0.0003277 155
0.0061 0.000369667 95
0.0066 0.000432952 82
0.0071 0.000516472 72
0.0076 0.000634203 49
0.0081 0.000821755 45
0.0086 0.00112533 43

K = 8
0.0001 0.000337752 54
0.0006 0.000283247 82
0.0011 0.000256265 182
0.0016 0.000240291 413
0.0021 0.000228196 2003
0.0026 0.000220863 3133
0.0031 0.000219209 3082
0.0036 0.0002263 4955
0.0041 0.000239472 3188
0.0046 0.000260355 1914
0.0051 0.000287558 760
0.0056 0.000320346 112
0.0061 0.00036342 85
0.0066 0.00042796 74
0.0071 0.000514391 59
0.0076 0.000634203 47
0.0081 0.000821755 43
0.0086 0.00112533 44

K = 9
0.0001 0.00033741 54
0.0006 0.000280728 77
0.0011 0.000251727 228
0.0016 0.000236323 405
0.0021 0.000224155 1545
0.0026 0.000215235 1797
0.0031 0.000215049 1897
0.0036 0.00022198 3665
0.0041 0.000235714 3730
0.0046 0.000256085 1772
0.0051 0.000282028 406
0.0056 0.000314183 94
0.0061 0.000360862 69
0.0066 0.000425974 65
0.0071 0.000513896 64
0.0076 0.000634164 44
0.0081 0.000821755 43
0.0086 0.00112533 43

K = 10
0.0001 0.000337293 51
0.0006 0.000279085 66
0.0011 0.000249241 173
0.0016 0.000232594 463
0.0021 0.000220784 1397
0.0026 0.000211986 627
0.0031 0.000212084 2150
0.0036 0.000219481 2721
0.0041 0.000232087 2285
0.0046 0.000252655 1219
0.0051 0.000279258 312
0.0056 0.000311002 87
0.0061 0.000358275 64
0.0066 0.000424859 64
0.0071 0.000513355 55
0.0076 0.000634164 42
0.0081 0.000821755 42
0.0086 0.00112533 41

