K = 2
0.0001 0.000448211 147
0.0006 0.000402979 149
0.0011 0.000311666 168
0.0016 0.000350349 263
0.00209999 0.000325461 287
0.0026 0.000331724 274
0.0030999 0.00033249 327
0.0036 0.000370373 270
0.0041 0.000383777 177
0.0046 0.000395873 198
0.0051 0.000426555 123
0.0056 0.000475824 132
0.0061 0.000523215 123
0.0066 0.000590262 100
0.0071 0.000683333 114
0.0076 0.000790873 93
0.0081 0.000870389 61
0.0086 0.000945563 52
0.0091 0.00089344 47
0.0096 0.00117094 48
0.0101 0.00103331 42
0.0106 0.00129378 39
0.0111 0.00232134 39

K = 3
0.0001 0.00033332 216
0.0006 0.000300412 312
0.0011 0.0002674 445
0.0016 0.000234892 352
0.0021 0.000235571 414
0.0026 0.000234205 527
0.0031 0.000245301 377
0.0036 0.000257241 313
0.0041 0.000283229 228
0.0046 0.000304865 205
0.0051 0.000341481 233
0.0056 0.000362415 162
0.0061 0.000386596 123
0.0066 0.000422266 107
0.0071 0.000469423 110
0.0076 0.000528068 90
0.0081 0.000598202 94
0.0086 0.000671014 82
0.0091 0.000715006 47
0.0096 0.0007154 44
0.0101 0.000873532 42
0.0106 0.00129378 40
0.0111 0.00232134 40

K = 4
0.0001 0.000289888 260
0.0006 0.000254728 367
0.00110097 0.000232635 555
0.0016 0.000214978 495
0.0021 0.000200905 422
0.0026 0.000203714 412
0.0031 0.000208618 471
0.0036 0.000217713 311
0.0041 0.00024075 353
0.0046 0.000264808 274
0.0051 0.000288874 227
0.0056 0.000314368 187
0.0061 0.000338324 122
0.0066 0.000369749 112
0.0071 0.000404583 105
0.0076 0.000445924 94
0.0081 0.000486239 99
0.0086 0.000543068 70
0.0091 0.000574047 44
0.0096 0.000680281 44
0.0101 0.000873532 42
0.0106 0.00129378 38
0.0111 0.00232134 38

K = 5
0.0001 0.000262365 264
0.0006 0.000234234 462
0.0011 0.000210525 1132
0.0016 0.000194167 580
0.0021 0.000187669 800
0.0026 0.000189028 650
0.0031 0.000193781 589
0.0036 0.000196494 335
0.0041 0.000209765 359
0.0046 0.000235136 303
0.0051 0.000257884 238
0.0056 0.000280144 140
0.0061 0.000306533 177
0.0066 0.000329949 128
0.0071 0.000359757 99
0.0076 0.000396846 77
0.0081 0.000438814 82
0.0086 0.000496524 63
0.0091 0.000564142 42
0.0096 0.000680281 42
0.0101 0.000873532 39
0.0106 0.00129378 39
0.0111 0.00232134 39

K = 6
0.0001 0.00024471 330
0.0006 0.000219829 636
0.0011 0.00019974 1911
0.0016 0.000180403 490
0.0021 0.000175129 606
0.0026 0.000177402 631
0.0031 0.000179221 413
0.0036 0.000184347 427
0.0041 0.000195097 306
0.0046 0.000209729 265
0.0051 0.000232442 271
0.0056 0.000257963 233
0.0061 0.000276936 111
0.0066 0.000302896 103
0.0071 0.000336664 93
0.0076 0.000375214 71
0.0081 0.000425595 72
0.0086 0.000484672 45
0.0091 0.000564142 44
0.0096 0.000680281 41
0.0101 0.000873532 39
0.0106 0.00129378 42
0.0111 0.00232134 42

K = 7
0.0001 0.000234003 395
0.0006 0.000210239 1234
0.0011 0.000188837 1649
0.0016 0.000173544 649
0.0021 0.000166749 810
0.0026 0.000167547 515
0.0031 0.000169838 392
0.0036 0.000173834 464
0.0041 0.000184388 290
0.0046 0.000199055 236
0.0051 0.000215482 152
0.0056 0.000236353 120
0.0061 0.000259753 104
0.0066 0.000288539 93
0.0071 0.000326032 86
0.0076 0.000366379 60
0.0081 0.000418494 68
0.0086 0.000484033 43
0.0091 0.000564142 42
0.0096 0.000680281 40
0.0101 0.000873532 40
0.0106 0.00129378 41
0.0111 0.00232134 42

K = 8
0.0001 0.000224673 392
0.0006 0.000201749 1246
0.0011 0.00018244 2375
0.0016 0.000166938 512
0.0021 0.000160072 662
0.0026 0.000160404 469
0.0031 0.000162328 359
0.0036 0.000168366 480
0.0041 0.000177482 415
0.0046 0.000190605 229
0.0051 0.00020612 125
0.0056 0.000227784 125
0.0061 0.000252433 99
0.0066 0.000283302 91
0.0071 0.000319485 85
0.0076 0.000362852 72
0.0081 0.000417639 52
0.0086 0.000484033 42
0.0091 0.000564142 41
0.0096 0.000680281 38
0.0101 0.000873532 38
0.0106 0.00129378 38
0.0111 0.00232134 40

K = 9
0.0001 0.000218546 235
0.0006 0.000195914 1355
0.0011 0.000176203 2052
0.0016 0.000161115 335
0.0021 0.000154454 629
0.0026 0.000154703 246
0.0031 0.000156817 224
0.0036 0.000163682 544
0.0041 0.000172819 255
0.0046 0.000184583 192
0.0051 0.000200678 123
0.0056 0.000222162 111
0.0061 0.000248217 107
0.0066 0.000278683 88
0.0071 0.000315957 66
0.0076 0.000361625 64
0.0081 0.000417381 60
0.0086 0.000484018 43
0.0091 0.000564142 42
0.0096 0.000680281 39
0.0101 0.000873532 38
0.0106 0.00129378 38
0.0111 0.00232134 39

K = 10
0.0001 0.000213502 275
0.0006 0.000189959 769
0.0011 0.000171273 689
0.0016 0.000157439 230
0.0021 0.000151262 481
0.0026 0.000150451 193
0.0031 0.000151942 158
0.0036 0.000159474 426
0.0041 0.000168612 247
0.0046 0.000179792 126
0.0051 0.000196562 118
0.0056 0.000218568 117
0.0061 0.000244462 99
0.0066 0.000275818 89
0.0071 0.000314375 69
0.0076 0.000361018 60
0.0081 0.000417323 48
0.0086 0.000484033 43
0.0091 0.000564142 41
0.0096 0.000680281 37
0.0101 0.000873532 38
0.0106 0.00129378 39
0.0111 0.00232134 39

