K = 2
0.0011 0.00119124 18
0.0021 0.000898261 17
0.0031 0.000937789 42
0.0041 0.000918922 32
0.0051 0.000912619 23
0.0061 0.00110169 34
0.0071 0.00122613 19
0.0081 0.00128554 14
0.0091 0.00158132 13
0.0100999 0.00211342 15
0.0111 0.00280885 14
0.0121 0.00364875 13
0.0131 0.00501906 12

K = 3
0.0011 0.00107626 13
0.0021 0.00076526 15
0.0031 0.000745753 33
0.0041 0.00075541 37
0.0051 0.000781117 19
0.0061 0.000894329 20
0.0071 0.00101123 18
0.0081 0.00116057 14
0.0091 0.00148291 13
0.0101 0.00197457 13
0.0111 0.00269563 13
0.0121 0.00364875 12
0.0131 0.00501906 12

K = 4
0.0011 0.00107626 13
0.0021 0.000726802 13
0.0031 0.000678602 17
0.0041 0.000689583 35
0.0051 0.000729967 31
0.0061 0.000791267 15
0.0071 0.000923582 14
0.0081 0.00110297 15
0.0091 0.00142982 13
0.0101 0.0019607 14
0.0111 0.00269561 12
0.0121 0.00364875 12
0.0131 0.00501906 12

K = 5
0.0011 0.00107626 13
0.0021 0.000722789 15
0.0031 0.000665972 26
0.0041 0.000671828 24
0.0051 0.000706327 27
0.0061 0.000766783 17
0.0071 0.000888699 17
0.0081 0.00109824 15
0.0091 0.00142982 13
0.0101 0.0019607 13
0.0111 0.00269561 11
0.0121 0.00364875 13
0.0131 0.00501906 13

K = 6
0.0011 0.00107626 13
0.0021 0.000721007 26
0.0031 0.000658244 22
0.0041 0.00066124 31
0.0051 0.000691304 18
0.0061 0.000755422 16
0.0071 0.000886123 15
0.0081 0.00109824 16
0.0091 0.00142982 13
0.0101 0.0019607 13
0.0111 0.00269561 12
0.0121 0.00364875 12
0.0131 0.00501906 12

K = 7
0.0011 0.00107626 12
0.0021 0.000720169 14
0.0031 0.000652878 18
0.0041 0.000656807 22
0.0051 0.000687748 27
0.0061 0.000754781 14
0.0071 0.000886123 14
0.0081 0.00109824 13
0.0091 0.00142982 13
0.0101 0.0019607 12
0.0111 0.00269561 12
0.0121 0.00364875 12
0.0131 0.00501906 12

K = 8
0.0011 0.00107626 12
0.0021 0.000720169 12
0.0031 0.000650913 17
0.0041 0.00065401 21
0.0051 0.000685357 17
0.0061 0.000754781 15
0.0071 0.000886123 14
0.0081 0.00109824 13
0.0091 0.00142982 12
0.0101 0.0019607 13
0.0111 0.00269561 12
0.0121 0.00364875 12
0.0131 0.00501906 12

K = 9
0.0011 0.00107626 13
0.0021 0.000720169 13
0.0031 0.000650499 19
0.0041 0.000652925 20
0.0051 0.000684605 18
0.0061 0.000754781 14
0.0071 0.000886123 13
0.0081 0.00109824 13
0.0091 0.00142982 15
0.0101 0.0019607 13
0.0111 0.00269561 12
0.0121 0.00364875 12
0.0131 0.00501906 12

K = 10
0.0011 0.00107626 12
0.0021 0.000720169 12
0.0031 0.000650325 14
0.0041 0.00065185 17
0.0051 0.00068429 15
0.0061 0.000754781 14
0.0071 0.000886123 13
0.0081 0.00109824 14
0.0091 0.00142982 12
0.0101 0.0019607 12
0.0111 0.00269561 11
0.0121 0.00364875 12
0.0131 0.00501906 12

