K = 2
0.00493123 0.000900156 85
0.00566689 0.00100027 79
0.0063638 0.00110001 77
0.00643143 0.00120048 70
0.00818126 0.00130075 32
0.00858678 0.00139999 15
0.00889096 0.00149995 15
0.00914456 0.0016 15
0.00936649 0.00170002 18
0.00956624 0.00180001 18
0.00974939 0.00189997 18
K = 3
0.00530798 0.000800867 81
0.00617658 0.000900555 72
0.00698491 0.00100096 87
0.00783796 0.00110096 36
0.00824576 0.00120051 41
0.00855884 0.00130044 35
0.00886391 0.00140033 38
0.0091456 0.001501 29
0.00938639 0.00160078 26
0.00960042 0.00170045 28
0.00979487 0.00180047 30
0.00997422 0.00190093 32
K = 4
0.00444998 0.000700873 81
0.00620279 0.000800444 59
0.00696912 0.000900532 47
0.00748121 0.00100068 131
0.00808843 0.00110095 25
0.00847224 0.00120085 49
0.00877257 0.00130048 38
0.00903105 0.00140089 30
0.00925888 0.00150059 32
0.00946624 0.001601 41
0.00965728 0.00170065 47
0.00983522 0.00180068 31
0.0100035 0.00190093 28
K = 5
0.00491346 0.000700788 115
0.00642195 0.000800998 44
0.00717318 0.000900919 43
0.00768822 0.00100056 50
0.00810929 0.00110087 36
0.0084711 0.00120062 25
0.00877318 0.0013009 29
0.00903056 0.00140093 28
0.00925888 0.00150069 27
0.00946635 0.00160076 40
0.00965708 0.00170068 34
0.00983543 0.00180063 27
0.0100035 0.00190093 26
K = 6
0.00527421 0.000700935 72
0.00652017 0.000800773 34
0.00718309 0.000900934 43
0.00768895 0.00100073 41
0.00810923 0.00110083 39
0.00847198 0.00120082 35
0.00877282 0.0013007 29
0.00903115 0.00140079 27
0.00925856 0.00150047 30
0.00946638 0.00160085 27
0.00965708 0.00170068 27
0.00983573 0.00180086 26
0.0100035 0.00190093 31
K = 7
0.00536326 0.000700962 49
0.0065217 0.000800768 32
0.00718205 0.000900602 29
0.00768851 0.00100055 46
0.00810812 0.00110075 43
0.00847198 0.00120082 22
0.00877309 0.00130081 30
0.00903115 0.00140079 29
0.0092587 0.00150058 26
0.00946638 0.00160085 27
0.00965694 0.00170071 24
0.00983624 0.00180097 23
0.0100026 0.0019 32
K = 8
0.00539504 0.000700848 66
0.00652031 0.000800863 38
0.00718258 0.000900672 46
0.00768905 0.00100067 25
0.00810927 0.00110086 28
0.00847037 0.00120067 24
0.0087736 0.00130074 19
0.00903017 0.00140054 39
0.00925895 0.001501 34
0.00946659 0.00160087 29
0.00965694 0.00170071 26
0.00983624 0.00180097 23
0.0100025 0.0019 24
K = 9
0.00539563 0.000700786 59
0.0065201 0.00080089 32
0.00718277 0.000900834 89
0.00768925 0.00100094 23
0.00810927 0.00110086 29
0.00847037 0.00120067 27
0.0087736 0.00130074 19
0.00903124 0.00140083 28
0.00925884 0.00150052 30
0.00946659 0.00160087 27
0.00965694 0.00170071 25
0.00983624 0.00180097 25
0.0100025 0.00189999 22
K = 10
0.00539574 0.000700922 59
0.0065201 0.00080089 30
0.00718277 0.000900834 34
0.00768925 0.00100094 32
0.00810867 0.00110084 28
0.00847065 0.00120056 17
0.00877163 0.0013 23
0.00903133 0.00140088 27
0.00925855 0.00150068 23
0.00946635 0.00160076 26
0.00965694 0.00170071 34
0.00983624 0.00180097 29
0.0100025 0.00189999 38
