K = 2
0.0001 0.000525214 59
0.0011 0.000452286 124
0.0021 0.000421779 183
0.0031 0.000378601 346
0.0041 0.000420822 243
0.0051 0.000446173 130
0.0061 0.000606994 102
0.0071 0.000693006 56
0.0081 0.000961726 48

K = 3
0.0001 0.000421152 89
0.0011 0.000367283 190
0.0021 0.000321344 469
0.0031 0.000309266 1484
0.0041 0.000315783 457
0.0051 0.000372655 160
0.0061 0.000445287 101
0.0071 0.00059686 81
0.0081 0.000865641 50

K = 4
0.0001 0.000367497 82
0.0011 0.000311389 221
0.0021 0.000281728 1237
0.0031 0.000271895 2588
0.0041 0.000283021 981
0.0051 0.000335134 253
0.0061 0.00041235 106
0.0071 0.000551094 76
0.0081 0.00083238 48

K = 5
0.0001 0.000350314 60
0.0011 0.000287109 151
0.0021 0.000260084 1776
0.0031 0.000244124 2048
0.0041 0.000264507 1468
0.0051 0.000314194 293
0.0061 0.000392635 105
0.0071 0.000525446 65
0.0081 0.000821755 48

K = 6
0.0001 0.000343231 61
0.0011 0.000273301 181
0.0021 0.000245626 2359
0.0031 0.000232557 2421
0.0041 0.000252793 1975
0.0051 0.000302891 396
0.0061 0.000376512 102
0.0071 0.000519414 71
0.0081 0.000821755 43

K = 7
0.0001 0.0003395 60
0.0011 0.000262597 179
0.0021 0.000236515 3231
0.0031 0.000225134 4297
0.0041 0.000244716 2812
0.0051 0.000293968 479
0.0061 0.000369667 87
0.0071 0.000516472 71
0.0081 0.000821755 42

K = 8
0.0001 0.000337752 60
0.0011 0.000256265 166
0.0021 0.000228196 1993
0.0031 0.000219209 3056
0.0041 0.000239472 3748
0.0051 0.000287558 722
0.0061 0.00036342 82
0.0071 0.000514391 57
0.0081 0.000821755 42

K = 9
0.0001 0.00033741 53
0.0011 0.000251727 187
0.0021 0.000224155 1683
0.0031 0.000215049 2360
0.0041 0.000235714 3765
0.0051 0.000282028 371
0.0061 0.000360862 67
0.0071 0.000513896 53
0.0081 0.000821755 42

K = 10
0.0001 0.000337293 48
0.0011 0.000249241 171
0.0021 0.000220784 1395
0.0031 0.000212084 1877
0.0041 0.000232087 2221
0.0051 0.000279258 404
0.0061 0.000358275 61
0.0071 0.000513355 50
0.0081 0.000821755 42

