K = 2
0.00213791 0.000500066 897
0.00311106 0.000600072 618
0.00398957 0.000700129 332
0.00411831 0.000800044 348
0.00426438 0.000900033 287
0.00437132 0.00100021 296
0.00457661 0.00110083 232
0.00464472 0.0012 214
0.00468996 0.0013 195
0.00472627 0.00139999 194
0.00475805 0.00149983 193
0.0047863 0.00159993 174
0.00481062 0.00169934 181
0.00481365 0.00171258 159
0.00481365 0.00171258 158
K = 3
0.00142556 0.000400636 7622
0.00270583 0.000500697 4905
0.00361145 0.000600529 541
0.00411062 0.000700702 340
0.00430244 0.000800855 278
0.00441616 0.000900466 276
0.004533 0.00100035 246
0.00460982 0.00110044 200
0.0046584 0.00120099 220
0.00469706 0.00130053 217
0.00473014 0.00139999 223
0.0047596 0.00149998 224
0.0047862 0.00159953 184
0.00481075 0.00169994 182
0.00481365 0.00171258 158
0.00481365 0.00171258 158
K = 4
0.00197678 0.000400914 3496
0.00307174 0.000500899 2726
0.0038612 0.000600996 446
0.00417075 0.000700927 332
0.00433827 0.000800806 297
0.0044501 0.000900682 281
0.00453895 0.0010007 255
0.00461004 0.00110063 228
0.00465872 0.00120098 205
0.00469706 0.00130053 211
0.00473041 0.00140095 217
0.0047598 0.00150073 210
0.00478628 0.00159985 159
0.00481073 0.00169985 160
0.00481365 0.00171258 159
0.00481365 0.00171258 158
K = 5
0.00221766 0.000400947 2838
0.00321574 0.000500827 1395
0.0038952 0.000600966 405
0.00419237 0.000700923 327
0.00434162 0.000800912 286
0.00445016 0.000900678 268
0.00453895 0.0010007 247
0.00461004 0.00110063 213
0.00465872 0.00120098 204
0.00469708 0.00130049 214
0.00473014 0.00139998 214
0.00475975 0.00150053 231
0.00478627 0.00159981 159
0.00481064 0.00169988 159
0.00481365 0.00171258 158
0.00481365 0.00171258 158
K = 6
0.0023479 0.000400918 2856
0.00329899 0.000500681 1058
0.00391353 0.000600931 397
0.0041924 0.000700981 328
0.00434128 0.000799998 314
0.00445025 0.000900702 266
0.00453895 0.0010007 247
0.00461004 0.00110063 215
0.00465872 0.00120098 204
0.00469708 0.00130049 219
0.00473014 0.00139995 216
0.0047598 0.00150073 206
0.00478636 0.00159996 164
0.00481073 0.00169992 159
0.00481365 0.00171258 159
0.00481365 0.00171258 158
K = 7
0.00241964 0.000400874 2287
0.00334026 0.000500859 845
0.00391853 0.00060062 368
0.00419232 0.000700753 327
0.00434129 0.000799998 270
0.00445025 0.000900702 262
0.00453895 0.0010007 247
0.00461004 0.00110063 207
0.00465841 0.00120027 206
0.00469708 0.00130049 213
0.00473012 0.00139996 216
0.0047598 0.00150073 227
0.00478602 0.0015989 162
0.00481061 0.00169956 160
0.00481365 0.00171258 159
0.00481365 0.00171258 159
K = 8
0.00246906 0.000400835 2059
0.00335952 0.000500865 805
0.00391965 0.000600971 362
0.00419204 0.000700888 341
0.0043423 0.000800879 264
0.00445025 0.000900702 262
0.00453895 0.0010007 239
0.00461004 0.00110063 208
0.00465841 0.00120027 205
0.00469708 0.00130049 216
0.00473014 0.00139997 215
0.0047598 0.00150073 230
0.00478636 0.00159996 191
0.00481065 0.00169951 162
0.00481365 0.00171258 161
0.00481365 0.00171258 159
K = 9
0.00249942 0.000400959 2060
0.00336033 0.000500985 957
0.00391832 0.000600778 379
0.00419216 0.000700945 324
0.00434186 0.000800806 275
0.00445025 0.000900702 264
0.00453861 0.000999999 245
0.00461004 0.00110063 208
0.00465841 0.00120027 205
0.00469708 0.00130049 204
0.00473041 0.00140095 216
0.0047598 0.00150073 228
0.00478618 0.00159975 162
0.00481048 0.00169882 161
0.00481365 0.00171258 159
0.00481365 0.00171258 159
K = 10
0.00250937 0.000400808 1323
0.00336045 0.00050079 1042
0.00391932 0.000600855 346
0.0041925 0.000700887 300
0.00434186 0.000800806 274
0.00445025 0.000900702 268
0.00453895 0.0010007 255
0.00461 0.00110061 198
0.00465872 0.00120098 207
0.00469708 0.00130049 213
0.00473014 0.00139994 216
0.0047598 0.00150073 232
0.00478617 0.00159979 161
0.00481077 0.00170001 161
0.00481365 0.00171258 158
0.00481365 0.00171258 158
